Report_Month,Company,Product_Category,Premium_Current_Month,Premium_YTD,Policies_Current_Month,Policies_YTD,Date
January-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,49.24,1184.38,41.0,395,2017-01-01
January-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Single Premium,2.29,18.11,1.0,5,2017-01-01
January-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,100.17,621.43,28515.0,213303,2017-01-01
January-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.3,30.54,62.0,782,2017-01-01
January-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Total,153.99,1854.46,28619.0,214485,2017-01-01
January-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.03,2.62,0.0,0,2017-01-01
January-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,14.27,127.37,0.0,43,2017-01-01
January-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,33.52,268.74,8769.0,77426,2017-01-01
January-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,20.18,160.04,935.0,8834,2017-01-01
January-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Total,68.0,558.77,9704.0,86303,2017-01-01
January-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,3.79,37.29,1.0,15,2017-01-01
January-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.09,0.0,1,2017-01-01
January-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,11.52,85.87,2656.0,17283,2017-01-01
January-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.47,4.85,43.0,814,2017-01-01
January-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Total,15.78,128.1,2700.0,18113,2017-01-01
January-2017,AXIS MAX LIFE INSURANCE LIMITED,Group Non Single Premium,0.91,52.02,3.0,346,2017-01-01
January-2017,AXIS MAX LIFE INSURANCE LIMITED,Group Single Premium,20.37,216.74,0.0,33,2017-01-01
